"condition","kamila_mean","kamila_lo","kamila_hi"
"baseline",0.976818181818182,0.969252736715879,0.984383626920485
"contam_mild",0.967727272727273,0.945132191308612,0.990322354145933
"contam_severe",0.845454545454545,0.744519792142919,0.946389298766172
"heavytail_t2",0.958181818181818,0.943167951313249,0.973195685050387
"skew_lognormal",0.988636363636364,0.98280939741426,0.994463329858467
"unequal_var_mild",0.949090909090909,0.926638743020597,0.971543075161221
"unequal_var_severe",0.937272727272727,0.906302332926075,0.968243121619379
"correlation_mild",0.920454545454545,0.851352434454085,0.989556656455006
"correlation_high",0.923181818181818,0.877900999059932,0.968462637303704
"cat_imbalance_mild",0.983181818181818,0.976668764255918,0.989694872107719
"cat_imbalance_severe",0.988181818181818,0.980191180869011,0.996172455494626
"unequal_size_mild",0.892272727272727,0.80108755436849,0.983457900176965
"unequal_size_severe",0.733181818181818,0.599228732223215,0.867134904140421
